company,runner_count
FUTRUE,48
A&M STABTEST,48
Corning GmbH,48
BNP Paribas PI Germany,48
DSV-Gruppe,48
Accenture GmbH,48
Bundesanstalt für Gewässerkunde,48
TotalEnergies,48
ENGIE Köln,48
Labor Dr. Wisplinghoff,48
Diakonie Runners,47
Saab Deutschland GmbH,47
Bristol Myers Squibb GmbH & Co KGaA,47
Mondelez Deutschland GmbH,47
GÖRG Rechtsanwälte,47
Cinemo GmbH,47
Redcare Pharmacy,47
Nokia Solutions and Networks GmbH,47
Diakonisches-Werk.de,47
Nedschroef,47
LV 1871,47
Berkshire Cheetahs,47
KraussMaffei Extrusion,47
Team Gienger,47
Kestenholz,47
Abeking & Rasmussen,47
Amadeus Fire,47
GKK,47
SupplyOn AG,47
SEEBURGER AG,47
Lorenz Bahlsen,47
thyssenkrupp Uhde GmbH,47
FISCHER TEAMPLAN,46
SCHULZ,46
LIDL,46
CHEP BLUE RUNNERS,46
BLG LOGISTICS GROUP AG & Co. KG,46
Lebenshilfe Nürnberg,46
ArcelorMittal,46
DCS Runners,46
MSE,46
]init[ AG,46
EMUGE-FRANKEN,46
Clariant,46
uniVersa,46
evosoft GmbH,46
DECATHLON Dortmund,46
Rhein-Mosel-Werkstatt gGmbH,46
Justiz Koblenz,46
Justiz Freiburg,46
Interzero Circular Solutions Germany,46
GETEC : GRUPPE,46
Chromsystems,45
#GemeinsamAktiv,45
hagebaumarkt,45
Liveo Research,45
Johanniter,45
BIOTRONIK,45
PTW Freiburg GmbH,45
Leistritz,45
MSIG EUROPE SE,45
SPIE,45
Murata Electronics Europe B.V.,45
KPMG Nürnberg,45
MBTIRunners,45
BFS health finance GmbH,45
Lyreco Deutschland GmbH,45
LTTS Runners,45
Klüber Lubrication,45
PORR RUNNER,45
Knauf Digital,45
WFB Bremen,45
Cognizant Mobility,45
B. Braun Melsungen AG,44
Verein für Sozialpsychiatrie,44
thyssenkrupp nucera,44
Schäfer Dein Bäcker GmbH,44
Profi Parts,44
Würth Elektronik,44
UTN,44
Jobcenter München,44
Landesbetrieb Straßenbau NRW,44
Jacobs Douwe Egberts,44
Polizeipräsidium Westpfalz,44
VGH Versicherungen,44
Xcare Gruppe GbR,44
1. FC Köln - Mitgliederteam,44
SÖR- Stadt Nürnberg,44
#Bier läuft,44
