year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,culture_score,culture_score_rank
2024,7,0.8801,88.0,MTU Aero Engines,MTX.DE,DAX,Industrials,Precision Engineers,441,10000,0.0441,4.41,13,2,4.044152046783625,4:03/km,4,4.935384615384615,4:56/km,4,5:06/km,3:11/km,8:23/km,0.536,6
2024,8,0.8798,88.0,DEUTZ,DEZ.DE,SDAX,Industrials,Heavy Industry,267,4200,0.06357142857142857,6.36,5,1,4.7905,4:47/km,48,5.902666666666667,5:54/km,47,6:25/km,3:38/km,15:03/km,0.411,23
2024,9,0.8742,87.4,Talanx,TLX.DE,MDAX,Finance,Corporate Marathoners,589,12000,0.04908333333333333,4.91,10,3,4.531666666666666,4:32/km,25,5.817692307692308,5:49/km,39,5:58/km,3:22/km,10:47/km,0.476,8
2024,10,0.8643,86.4,Siemens Energy,ENR.DE,DAX,Energy,Engineering Giants,1289,27000,0.04774074074074074,4.77,11,7,4.532096635030198,4:32/km,26,5.713661202185793,5:43/km,31,5:58/km,3:12/km,11:45/km,0.544,5
2024,11,0.8508,85.1,Bayer,BAYN.DE,DAX,Healthcare,Factory Endurance,985,22000,0.04477272727272727,4.48,12,5,4.259649122807017,4:16/km,11,5.386549707602339,5:23/km,15,5:36/km,2:58/km,11:15/km,0.556,4
2024,12,0.8472,84.7,grenke,GLJ.DE,SDAX,Finance,Corporate Marathoners,130,1100,0.11818181818181818,11.82,2,6,5.051515151515151,5:03/km,56,6.282878787878788,6:17/km,55,6:33/km,3:33/km,10:02/km,0.336,36
2024,13,0.8157,81.6,OVB Holding,O4B.DE,Other,Finance,Corporate Marathoners,21,250,0.084,8.4,4,1,5.078,5:05/km,57,6.649666666666667,6:39/km,59,6:59/km,4:14/km,12:14/km,0.199,59
2024,14,0.8096,81.0,Elmos Semiconductor,ELG.DE,SDAX,Technology,Precision Engineers,60,1400,0.04285714285714286,4.29,14,1,4.354943502824859,4:21/km,17,5.554237288135593,5:33/km,18,5:38/km,3:39/km,9:36/km,0.32,40
2024,15,0.7268,72.7,adesso,ADN1.DE,SDAX,Technology,Office Athletes,370,10000,0.037,3.7,16,8,4.4313752276867024,4:26/km,20,5.564055555555555,5:34/km,20,5:45/km,3:07/km,12:20/km,0.462,9
2024,16,0.6778,67.8,Covestro,1COV.DE,DAX,Chemicals,Factory Endurance,273,8000,0.034125,3.41,17,1,4.8116666666666665,4:49/km,50,5.665666666666667,5:40/km,27,5:54/km,3:44/km,11:19/km,0.43,14
2024,17,0.6659,66.6,Amadeus Fire,AAD.DE,SDAX,Professional Services,Office Athletes,159,4200,0.03785714285714286,3.79,15,11,4.7778187134502925,4:47/km,47,6.414166666666667,6:25/km,58,6:43/km,3:58/km,10:39/km,0.343,35
2024,18,0.6554,65.5,Allianz,ALV.DE,DAX,Finance,Corporate Marathoners,1456,45000,0.032355555555555554,3.24,19,9,4.297076023391813,4:18/km,14,5.6383040935672515,5:38/km,26,6:01/km,2:58/km,13:28/km,0.561,3
2024,19,0.6495,65.0,Uniper,UN0.DE,SDAX,Energy,Grid Operators,165,5000,0.033,3.3,18,3,4.683611111111111,4:41/km,43,5.811944444444445,5:49/km,38,6:04/km,3:38/km,12:25/km,0.382,30
2024,20,0.6313,63.1,Qiagen,QIA.DE,DAX,Healthcare,Precision Engineers,80,2500,0.032,3.2,20,1,4.500694444444444,4:30/km,24,5.861805555555555,5:52/km,45,6:12/km,3:59/km,10:24/km,0.325,38
2024,21,0.6228,62.3,United Internet,UTDI.DE,MDAX,Telecom,Connected Operators,277,9000,0.03077777777777778,3.08,21,3,4.4606911217437535,4:28/km,22,5.760909090909091,5:46/km,33,5:55/km,3:28/km,9:23/km,0.424,15
2024,22,0.6183,61.8,Borussia Dortmund,BVB.DE,SDAX,Media,Performance Culture,28,1000,0.028,2.8,23,1,4.185734463276836,4:11/km,8,5.359745762711864,5:22/km,14,5:33/km,3:49/km,7:33/km,0.27,45
2024,23,0.5847,58.5,GEA,G1A.DE,MDAX,Industrials,Engineering Giants,170,6000,0.028333333333333332,2.83,22,6,4.5593055555555555,4:34/km,30,5.805782163742689,5:48/km,36,5:57/km,3:36/km,10:52/km,0.384,29
2024,24,0.5825,58.2,Carl Zeiss Meditec,AFX.DE,MDAX,Healthcare,Precision Engineers,113,4500,0.025111111111111112,2.51,25,2,4.137719298245614,4:08/km,6,5.305847953216374,5:18/km,13,5:25/km,3:26/km,9:24/km,0.387,28
2024,25,0.5476,54.8,CENIT,CSH.DE,Other,Technology,Office Athletes,18,700,0.025714285714285714,2.57,24,3,4.535,4:32/km,28,5.811315476190476,5:49/km,37,6:03/km,4:22/km,9:20/km,0.216,55
2024,26,0.541,54.1,BMW,BMW.DE,DAX,Automotive,Mobility Machines,1657,85000,0.019494117647058825,1.95,33,3,3.9330409356725147,3:56/km,3,4.872514619883041,4:52/km,3,4:58/km,2:51/km,11:55/km,0.661,2
2024,27,0.5383,53.8,Henkel,HEN3.DE,DAX,Consumer,Consumer Lifestyle,209,9000,0.02322222222222222,2.32,28,1,4.550833333333333,4:33/km,29,5.512222222222223,5:31/km,16,5:43/km,3:29/km,11:35/km,0.421,17
2024,28,0.5352,53.5,Knorr-Bremse,KBX.DE,DAX,Industrials,Engineering Giants,117,6000,0.0195,1.95,32,1,4.187426900584795,4:11/km,9,4.941520467836257,4:56/km,5,5:11/km,3:20/km,8:41/km,0.419,19
2024,29,0.5346,53.5,RWE,RWE.DE,DAX,Energy,Grid Operators,272,11000,0.024727272727272726,2.47,26,10,4.645666666666667,4:39/km,37,5.8015,5:48/km,35,6:05/km,3:45/km,10:26/km,0.42,18
2024,30,0.5248,52.5,CANCOM,COK.DE,SDAX,Technology,Office Athletes,92,4000,0.023,2.3,29,4,4.683040935672514,4:41/km,42,5.6335,5:38/km,25,6:01/km,3:50/km,10:06/km,0.349,34
2024,31,0.5136,51.4,TUI,TUI1.DE,MDAX,Consumer,Mobility Machines,224,9500,0.023578947368421053,2.36,27,2,4.694871794871795,4:42/km,44,5.859230769230769,5:52/km,43,5:58/km,3:49/km,9:08/km,0.401,25
2024,32,0.479,47.9,Airbus,AIR.DE,DAX,Industrials,Engineering Giants,992,45000,0.022044444444444443,2.2,30,4,4.677,4:41/km,41,6.012333333333333,6:01/km,50,6:16/km,3:17/km,12:12/km,0.498,7
2024,33,0.4775,47.7,CTS Eventim,EVD.DE,MDAX,Media,Content Machines,54,2500,0.0216,2.16,31,1,4.886388888888889,4:53/km,51,5.957222222222223,5:57/km,49,5:57/km,4:24/km,8:03/km,0.291,43
2024,34,0.416,41.6,Wacker Chemie,WCH.DE,MDAX,Chemicals,Factory Endurance,108,10657,0.010134184104344562,1.01,37,1,3.8320175438596493,3:50/km,1,4.80204678362573,4:48/km,2,4:55/km,3:11/km,7:37/km,0.423,16
2024,35,0.3857,38.6,Rheinmetall,RHM.DE,DAX,Industrials,Heavy Industry,206,16000,0.012875,1.29,34,3,4.671732456140351,4:40/km,40,5.603611111111111,5:36/km,23,5:52/km,3:30/km,10:27/km,0.413,21
2024,36,0.348,34.8,Munich Re,MUV2.DE,DAX,Finance,Corporate Marathoners,205,28000,0.007321428571428572,0.73,39,1,4.142690058479532,4:09/km,7,5.135964912280701,5:08/km,9,5:21/km,3:19/km,10:05/km,0.45,10
2024,37,0.3445,34.4,Continental,CON.DE,DAX,Automotive,Factory Endurance,333,32000,0.01040625,1.04,36,11,4.533050847457627,4:32/km,27,5.680999999999999,5:41/km,29,6:02/km,3:28/km,11:32/km,0.444,11
2024,38,0.3244,32.4,RTL Group,RRTL.DE,MDAX,Media,Content Machines,98,8000,0.01225,1.23,35,2,4.910166666666667,4:55/km,53,6.215666666666667,6:13/km,53,6:07/km,4:10/km,8:00/km,0.32,39
2024,39,0.318,31.8,SAP,SAP.DE,DAX,Technology,Office Athletes,153,25000,0.00612,0.61,41,3,4.307017543859649,4:18/km,15,5.289473684210526,5:17/km,11,5:32/km,3:38/km,10:38/km,0.413,20
2024,40,0.2985,29.9,Infineon,IFX.DE,DAX,Technology,Precision Engineers,46,15000,0.0030666666666666668,0.31,46,2,4.273538011695907,4:16/km,12,5.01798245614035,5:01/km,7,5:25/km,3:28/km,8:53/km,0.331,37
2024,41,0.2966,29.7,Freenet,FNTN.DE,MDAX,Telecom,Connected Operators,10,3500,0.002857142857142857,0.29,47,2,4.440643274853802,4:26/km,21,5.00672514619883,5:00/km,6,5:13/km,4:26/km,6:44/km,0.2,58
